TOTAL marcadores = 93

p0232	[1]	...dentes de ciberseguridad, un 16,6 % más que el año anterior [1]....
p0244	[2]	... Este informe se considera el punto de partida para los IDS [2]....
p0246	[3]	..., clasificando dichas actividades anómalas como intrusiones [3]....
p0248	[11]	...ico de red que se sabe que corresponden a ataques conocidos [11]....
p0250	[14]	... objetivo de detectar anomalías en el flujo de comunicación [14]. ...
p0306	[16]	...nden» en el sentido de que son capaces de generalizar datos [16] y experiencias pasadas para predecir resultados futuros. En...
p0308	[4]	...s de IA, y el DL es a su vez un subconjunto estricto del ML [4]....
p0323	[5]	... a partir del algoritmo previamente entrenado (Figura 2.4). [5]...
p0353	[7]	...us propios conjuntos de etiquetas, sin supervisión humana). [7]...
p0371	[5]	...eneralización. Es la fase que da sentido a todo lo anterior [5]....
p0377	[22]	... decisión es una estructura jerárquica de nodos de decisión [22] que particiona el espacio de características mediante pregu...
p0379	[23]	...junto (ensemble) combina varios clasificadores individuales [23] en un modelo agregado que, en general, generaliza mejor que...
p0381	[24]	... reduce la varianza del conjunto respecto a un único árbol. [24]...
p0384	[25]	...para corregir los errores residuales del conjunto acumulado [25] hasta ese punto, siguiendo la dirección de descenso del gra...
p0385	[26]	...características continuas en un número fijo de contenedores [26] antes de construir los árboles....
p0387	[27]	...cercanos es el ejemplo más conocido de aprendizaje perezoso [27]: en lugar de estimar una función general durante el entrena...
p0391	[28]	...e no usar etiquetas de clase en el criterio de optimización [28]. ...
p0395	[29]	... anomalía: cuanto más corto el camino, más anómalo el punto [29]....
p0397	[30]	...o compatible con un margen de tolerancia fijado de antemano [30]....
p0400	[31]	...s— recibe una puntuación LOF elevada y se considera anómalo [31]....
p0404	[32]	...los gradientes de todos los pesos mediante retropropagación [32]....
p0405	[6]	...utoencoder, que es el detector seleccionado para la etapa 1 [6]. ...
p0410	[17]	...imitar por contraste el régimen semisupervisado (one-class) [17]....
p0414	[33]	... binario, la matriz reduce el resultado a cuatro contadores [33]:...
p0429	[34]	...todos los ataques reales, qué proporción detectó el sistema [34]....
p0442	[36]	...F1: la media armónica de precisión y recall [36]....
p0448	[35]	...o de los dos esquemas de promediado que emplea este trabajo [35]:...
p0472	[38]	...nsidera más informativa bajo desequilibrio fuerte de clases [38]....
p0478	[8]	...oftware, firmware, información/datos y telecomunicaciones). [8]...
p0479	[10]	...lidad, la disponibilidad y la integridad de la información. [10]...
p0499	[8]	..., algunos de ellos son la autenticidad y la responsabilidad [8]....
p0504	[14]	...ridad, y genera una alerta dirigida al analista responsable [14]....
p0508	[3]	...o las escribe un analista sino que se aprenden de los datos [3]. ...
p0522	[39]	...odo de detección, modo de despliegue y momento del análisis [39]....
p0525	[14]	...unto entre HIDS (host-based IDS) y NIDS (network-based IDS) [14]....
p0529	[40]	...ás citada del área y la que enmarca el problema de este TFG [40]. Se presentan aquí las tres casillas:...
p0547	[40]	...permanente, ya que debe estar actualizándose constantemente [40]....
p0552	[3]	... la desviación de dichos perfiles como indicio de intrusión [3]....
p0555	[41]	...ables y sensibilidad a la deriva (drift) del tráfico normal [41]....
p0567	[42]	...s casos permite precisar en qué se apoya y en qué se aparta [42]....
p0570	[43]	...omía envejezca bien: los exploits caducan, los objetivos no [43]....
p0594	[45]	... sino la definición formal del espacio de salida del modelo [45]....
p0605	[47]	...re datos no estructurados con infraestructura especializada [47]....
p0623	[48]	...ncorrecta emitida con la misma naturalidad que una correcta [48]....
p0630	[49]	...r eso se desarrollan aquí y no en el capítulo de resultados [49]....
p0650	[49]	...Adaptatividad -- ¿Reacciona al defensor? [49]...
p0753	[49]	...cir data snooping —el pitfall P3 del catálogo de Arp et al. [49]—, y por tanto las métricas publicadas son optimistas respec...
p0770	[29]	...Isolation Forest [29]...
p0773	[30]	...OneClassSVM [30]...
p0776	[31]	...LocalOutlierFactor [31]...
p0810	[24]	...RandomForest [24]...
p0816	[53]	...HistGradientBoosting [53]...
p0827	[55]	...ir, por algoritmo, el que mejor rinda en validación cruzada [55]....
p0899	[60]	...peline que lo aplica en cada fold del Cross-Validation (CV) [60]...
p0902	[61]	...test de Kolmogórov-Smirnov para el análisis de drift D1  D2 [61]...
p0925	[43]	...l banco de pruebas estándar de la detección de intrusiones ([43] + [64])....
p0925	[64]	... de pruebas estándar de la detección de intrusiones ([43] + [64])....
p0927	[44]	...'99 arrastraba, sin embargo, dos defectos bien documentados [44]. El primero era la presencia masiva de registros duplicados...
p0927	[44]	...ntativo de la capacidad real de generalización de un modelo [44]. La crítica original a la metodología de evaluación del DAR...
p0927	[65]	...l a la metodología de evaluación del DARPA/KDD se remonta a [65]....
p0931	[44]	...stribuye en tres ficheros con tamaños y funciones distintos [44]. KDDTrain+ reúne 125.973 instancias y es el muestreo sin du...
p0936	[44]	...DDTrain+ entero, sino sobre el primer 20 % de sus registros [44]. Incluso la referencia más citada del dataset exige declara...
p0938	[46]	...en tres familias, según qué aspecto de la conexión capturan [46]:...
p0948	[44]	...ctamente los resultados de este trabajo con los publicados ([44] + [72])...
p0948	[72]	...e los resultados de este trabajo con los publicados ([44] + [72])...
p1534	[44]	... de evaluación definida por el artículo que creó el dataset [44], que publica sus baselines sobre KDDTest+....
p1536	[68]	...s del checklist de reproducibilidad adoptado en Capítulo 5. [68]...
p1538	[49]	...ores metodológicos en machine learning aplicado a seguridad [49], que cataloga como defecto reportar una métrica sin declara...
p1540	[14]	...El criterio de tuning de IDPS de la guía NIST SP 800-94. [14] ...
p1543	[52]	...La taxonomía de fugas de datos [52], y en concreto su categoría de preprocesado previo al split...
p1545	[44]	...La composición de KDDTest+ frente a KDDTrain+ [44]: los 17 tipos ausentes del entrenamiento son una propiedad ...
p2028	[48]	...go de espacio abierto, cualquiera que sea el umbral elegido [48]. La consecuencia práctica es la observada: el clasificador ...
p2030	[71]	...izado de la salida probabilística como línea base a superar [71]. El mecanismo de UMBRAL_CONF no es una elección desafortuna...
p2254	[49]	...tamente el error que  documenta como endémico en seguridad. [49]...
p2256	[44]	... siete baselines canónicos del artículo que creó el dataset [44], medidos sobre KDDTest+ y entrenados con el primer 20 % de ...
p2260	[44]	...Clasificador [44]...
p2299	[74]	...istemática, e ilustra la magnitud del problema sin medirla. [74]...
p2305	[13]	...a— y reporta una «zero-day detection accuracy» del 89-99 %  [13]. Ese 89-99 % no puede ponerse al lado del 0,771 de recall 0...
p2326	[73]	...ros dentro de un volumen abrumador de conexiones legítimas. [73] [14]...
p2326	[14]	...entro de un volumen abrumador de conexiones legítimas. [73] [14]...
p2354	[73]	...pende del valor exacto elegido, sino del orden de magnitud. [73]...
p2362	[14]	...S consiste en cambiar falsos negativos por falsos positivos [14]; y la conclusión clásica de la falacia de la tasa base es q...
p2362	[73]	...rusiones es la tasa de falsos positivos, no la sensibilidad [73]. ...
p2423	[49]	...ican esta situación como el pitfall P9, Lab-Only Evaluation [49]....
p2430	[49]	...a a la defensa —el pitfall P10, Inappropriate Threat Model. [49] ...
p2431	[51]	...o del problema —la distinción feature space / problem space [51]—. Forzar el experimento produciría una medición vistosa y s...
p2436	[68]	...r bars y central tendency del ML Reproducibility Checklist. [68]...
p2441	[48]	...os de entrenamiento no cubren —el riesgo de espacio abierto [48]—....
p2446	[12]	... evaluación real y puede dar lugar a afirmaciones inexactas [12]....
p2450	[49]	...prendizaje automático a seguridad informática de Arp et al. [49], introducido en 2.3.3. El criterio con el que se marca la c...
p2586	[71]	...lidad de que la muestra no pertenezca a ninguna clase vista [71]. Es la vía que atacadirectamente la fracción de 0-day mal e...
p2660	[74]	...co exclusivamente benigno y ataques en los cuatro restantes [74]. Eso habilita de golpe la división cronológica real y la cu...
p2662	[75]	...turado, por lo que la información temporal existe en origen [75]. Ahora bien, este trabajo no ha podidoverificar que los fic...
